排行,起手牌,获胜概率,平局概率
1,AA,31.00%,0.50%
2,KK,26.00%,0.60%
3,QQ,22.00%,0.80%
4,AKs,20.20%,1.90%
5,JJ,19.10%,0.90%
6,AQs,18.70%,2.20%
7,KQs,18.10%,2.10%
8,AJs,17.50%,2.50%
9,KJs,17.10%,2.40%
10,TT,16.80%,1.10%
11,AKo,16.70%,2.00%
12,ATs,16.60%,2.70%
13,QJs,16.60%,2.40%
14,KTs,16.10%,2.60%
15,QTs,15.80%,2.60%
16,JTs,15.80%,2.80%
17,99,15.30%,0.90%
18,AQo,14.90%,2.30%
19,A9s,14.60%,2.70%
20,KQo,14.40%,2.20%
21,88,14.20%,0.90%
22,K9s,14.20%,2.50%
23,T9s,14.10%,2.70%
24,A8s,13.90%,2.90%
25,Q9s,13.80%,2.40%
26,J9s,13.80%,2.50%
27,AJo,13.50%,2.60%
28,A5s,13.40%,3.30%
29,77,13.40%,0.90%
30,A7s,13.40%,3.00%
31,KJo,13.20%,2.50%
32,A4s,13.20%,3.10%
33,A3s,13.10%,2.90%
34,A6s,13.00%,3.10%
35,QJo,12.90%,2.50%
36,66,12.80%,0.90%
37,K8s,12.80%,2.60%
38,T8s,12.70%,2.70%
39,A2s,12.70%,2.60%
40,98s,12.60%,2.40%
41,J8s,12.50%,2.50%
42,ATo,12.40%,2.80%
43,Q8s,12.40%,2.50%
44,K7s,12.20%,2.70%
45,KTo,12.20%,2.80%
46,55,12.20%,0.90%
47,JTo,12.10%,2.80%
48,87s,12.00%,2.30%
49,QTo,12.00%,2.80%
50,44,11.90%,0.70%
51,22,11.90%,0.30%
52,33,11.90%,0.50%
53,K6s,11.80%,2.80%
54,97s,11.70%,2.40%
55,K5s,11.60%,2.90%
56,76s,11.50%,2.30%
57,T7s,11.50%,2.70%
58,K4s,11.40%,2.70%
59,K2s,11.30%,2.30%
60,K3s,11.30%,2.50%
61,Q7s,11.20%,2.60%
62,86s,11.20%,2.30%
63,65s,11.10%,2.20%
64,J7s,11.10%,2.60%
65,54s,10.90%,2.20%
66,Q6s,10.90%,2.70%
67,75s,10.70%,2.30%
68,96s,10.70%,2.40%
69,Q5s,10.60%,2.80%
70,64s,10.40%,2.00%
71,Q4s,10.40%,2.50%
72,Q3s,10.40%,2.40%
73,T9o,10.40%,2.80%
74,T6s,10.30%,2.70%
75,Q2s,10.30%,2.10%
76,A9o,10.20%,2.80%
77,53s,10.20%,2.00%
78,85s,10.10%,2.30%
79,J6s,10.10%,2.70%
80,J9o,10.00%,2.60%
81,K9o,9.90%,2.60%
82,J5s,9.90%,2.80%
83,Q9o,9.80%,2.60%
84,43s,9.80%,1.80%
85,74s,9.70%,2.10%
86,J4s,9.70%,2.60%
87,J3s,9.60%,2.40%
88,95s,9.60%,2.40%
89,J2s,9.50%,2.20%
90,63s,9.50%,1.80%
91,A8o,9.40%,3.00%
92,52s,9.30%,1.80%
93,T5s,9.20%,2.90%
94,84s,9.10%,2.10%
95,T4s,9.10%,2.70%
96,T3s,9.10%,2.40%
97,42s,9.00%,1.60%
98,T2s,9.00%,2.20%
99,98o,9.00%,2.40%
100,T8o,8.90%,2.80%
101,A5o,8.90%,3.40%
102,A7o,8.80%,3.20%
103,73s,8.80%,1.90%
104,A4o,8.70%,3.20%
105,32s,8.70%,1.30%
106,94s,8.70%,2.30%
107,93s,8.50%,2.10%
108,J8o,8.50%,2.70%
109,A3o,8.50%,3.00%
110,62s,8.50%,1.60%
111,92s,8.50%,1.90%
112,K8o,8.50%,2.80%
113,A6o,8.40%,3.20%
114,87o,8.40%,2.40%
115,Q8o,8.30%,2.70%
116,83s,8.20%,2.00%
117,A2o,8.20%,2.70%
118,82s,8.10%,1.80%
119,97o,8.00%,2.50%
120,72s,7.90%,1.80%
121,76o,7.90%,2.40%
122,K7o,7.90%,2.90%
123,65o,7.60%,2.40%
124,T7o,7.50%,2.80%
125,K6o,7.50%,3.00%
126,86o,7.40%,2.40%
127,54o,7.40%,2.30%
128,K5o,7.10%,3.00%
129,J7o,7.10%,2.80%
130,75o,7.00%,2.40%
131,Q7o,7.00%,2.80%
132,K4o,7.00%,2.80%
133,K3o,6.90%,2.60%
134,96o,6.80%,2.50%
135,K2o,6.80%,2.40%
136,64o,6.80%,2.10%
137,Q6o,6.60%,2.90%
138,53o,6.60%,2.10%
139,85o,6.30%,2.50%
140,T6o,6.30%,2.90%
141,Q5o,6.30%,2.90%
142,43o,6.20%,1.80%
143,Q4o,6.10%,2.70%
144,Q3o,6.10%,2.50%
145,74o,6.00%,2.20%
146,Q2o,6.00%,2.30%
147,J6o,5.90%,2.90%
148,63o,5.70%,1.90%
149,J5o,5.60%,2.90%
150,95o,5.60%,2.60%
151,52o,5.60%,1.90%
152,J4o,5.50%,2.70%
153,J3o,5.40%,2.50%
154,42o,5.40%,1.60%
155,J2o,5.30%,2.30%
156,84o,5.30%,2.30%
157,T5o,5.20%,3.00%
158,T4o,5.00%,2.80%
159,32o,5.00%,1.40%
160,T3o,5.00%,2.60%
161,73o,4.90%,2.00%
162,T2o,4.90%,2.30%
163,62o,4.70%,1.70%
164,94o,4.70%,2.40%
165,93o,4.50%,2.20%
166,92o,4.50%,2.00%
167,83o,4.30%,2.10%
168,82o,4.20%,1.90%
169,72o,4.00%,1.90%
